
1월 11, 2024 13:21:54.378 NEW SESSION
1월 11, 2024 16:13:29.504 [7136:8772:0111/161329.503:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:14:11.373 [7136:8772:0111/161411.373:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:14:15.510 [7136:8772:0111/161415.510:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:15:11.792 [7136:8772:0111/161511.792:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:15:15.252 [7136:8772:0111/161515.252:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:17:44.767 [7136:8772:0111/161744.766:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:17:57.780 [7136:8772:0111/161757.780:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:18:49.478 [7136:8772:0111/161849.478:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:19:49.52 [7136:8772:0111/161949.052:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:19:53.183 [7136:8772:0111/161953.183:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:33:09.454 [7136:8772:0111/163309.454:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:33:14.275 [7136:8772:0111/163314.275:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:34:55.763 [7136:8772:0111/163455.763:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:42:00.53 [7136:8772:0111/164200.053:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:42:03.611 [7136:8772:0111/164203.611:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:43:10.291 [7136:8772:0111/164310.291:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:43:48.597 [7136:8772:0111/164348.597:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:44:43.99 [7136:8772:0111/164443.098:ERROR:CONSOLE(0)] "ReferenceError: dragEvent is not defined", source:  (0)
1월 11, 2024 16:44:56.224 [7136:8772:0111/164456.224:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:48:14.892 [7136:8772:0111/164814.892:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:48:18.516 [7136:8772:0111/164818.516:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:49:25.842 [7136:8772:0111/164925.842:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:52:47.789 [7136:8772:0111/165247.789:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 16:57:26.285 [7136:8772:0111/165726.285:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:09:12.917 [7136:8772:0111/170912.917:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:09:19.769 [7136:8772:0111/170919.769:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:11:31.293 [7136:8772:0111/171131.293:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:14:03.47 [7136:8772:0111/171403.047:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:14:06.662 [7136:8772:0111/171406.662:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:14:22.527 [7136:8772:0111/171422.527:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:14:58.96 [7136:8772:0111/171458.096:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:16:02.592 [7136:8772:0111/171602.592:ERROR:CONSOLE(0)] "ReferenceError: dragEvent is not defined", source:  (0)
1월 11, 2024 17:16:50.19 [7136:8772:0111/171650.019:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:17:16.942 [7136:8772:0111/171716.941:ERROR:CONSOLE(0)] "ReferenceError: dragEvent is not defined", source:  (0)
1월 11, 2024 17:17:45.173 [7136:8772:0111/171745.173:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:21:15.499 [7136:8772:0111/172115.499:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:30:46.199 [7136:8772:0111/173046.199:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:30:58.858 [7136:8772:0111/173058.858:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:31:08.253 [7136:8772:0111/173108.253:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:31:23.90 [7136:8772:0111/173123.090:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:31:39.196 [7136:8772:0111/173139.196:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:31:46.196 [7136:8772:0111/173146.196:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:31:55.176 [7136:8772:0111/173155.176:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:32:00.559 [7136:8772:0111/173200.559:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:32:28.526 [7136:8772:0111/173228.526:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:40:31.551 [7136:8772:0111/174031.551:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 17:41:02.598 [7136:8772:0111/174102.598:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
